Name rus, Name eng,DOB,Gender,Description,Tag
Муреев Илья Анатольевич,Mureev Ilia Anatolevich,,Male,"Editor-in-Chief of the newspaper ""Penzenskie gubernskie vedomosti"" (owned by the Government of the Penza region)","Propagandists
Regional press"
Мургулец Валерий Валерьевич,Murgulets Valery Valerievich,1977,male,Member of the collegial executive body of PJSC INTER RAO,Top Management of State Owned Companies
Муров Андрей Евгеньевич,Murov Andrey Evgenyevich,26.03.1970,male,"Member of the Board of Directors of JSC System Operator of the Unified Energy System (SO UES)

Chairman of the Board of Directors of PJSC Federal Grid Company of the Unified Energy System (FGS UES), Member of the Board of Directors of PJSC Federal Grid Company of the Unified Energy System (FGS UES)

Member of the Board of Directors of PJSC ROSSETI, Member of the collegial executive body of PJSC ROSSETI

Member of the Board of Directors of PJSC INTER RAO",Top Management of State Owned Companies
Муров Евгений Алексеевич,Murov Evgeny Alekseevich,18.11.1945,male,Member of the Board of Directors of JSC ZARUBEZHNEFT,Top Management of State Owned Companies
Муртазин Эльдар Викторович,Murtazin Eldar Viktorovich,,male,Russian journalist and blogger. Actively supported the Russian invasion of Ukraine and the actions of the Russian authorities,"Propagandists
Federal media employees"
Муругов Вячеслав Александрович,Murugov Vyacheslav Alexandrovich,26.01.1969,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Мурыгин Алексей Валентинович,Murygin Aleksei Valentinovich,25.02.1972,male,"Member of the State Council of the Chuvash Republic, developer, cut down forests",Regional investigations subjects
Мусаев Муса Абдурахманович,Musaev Musa Abdurakhmanovich,,male,Judge of the Moscow Regional Court. Upheld the decision to extend the illegal detention of Alexei Navalny,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мусагалиев Азамат Тахирович,Musagaliev Azamat Takhirovich,25.10.1984,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Мусатов Е. О.,Musatov E. O.,,male,"Senior Investigator of the Second Department for the Investigation of Particularly Important Cases
Investigation Department of the Investigative Committee of the Russian Federation for the Pskov Oblast. Involved in the fabrication of the ""FBK case""","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мусатов Иван Михайлович,Musatov Ivan Mikhailovich,14.02.1976,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Мушаев Савр Григорьевич,Mushaev Savr Grigorievich,08.06.1979,male,"Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
Мушникова Наталья Евгеньевна,Mushnikova Natalya Evgenievna,,female,Judge of the Basmanny District Court of Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia. Involved in the case against the Ukrainian pilot Nadiya Savchenko,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мусолина Е. А.,Musolina E. A.,,female,Prosecutor of the Appellate Division of the Criminal Judicial Department of the Moscow Prosecutor's Office. Involved in the case against Ukrainian director Oleg Sentsov and Ukrainian activist Oleksandr Kolchenko,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Муссакаев Хызыр Ильясович,Mussakaev Khyzyr Ilyasovich,,male,Judge of the Simonovsky District Court. Responsible for the prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мустафин Рафис Миннивалиевич,Mustafin Rafis Minnivalievich,02.10.1952,male,"Member of the City Council of Nizhnekamsk (Republic of Tatarstan), hid property from declaring",Regional investigations subjects
Мусуков Алий Тахирович,Musukov Aliy Tahirovich,11.05.1969,male,"Chairman of the Government Kabardino-Balkarian Republic. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Мутко Виталий Леонтьевич,Mutko Vitaly Leontievich,,male,General Director and member of the Board of Directors of JSC DOM.RF,Top Management of State Owned Companies
Муцоев Зелимхан Аликоевич,Mutsoev Zelimkhan Alikoevich,13.10.1959,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
